EAR,PUC,MAR,MOE,drowsy
0.3,83.7,0.25,0.88,0
0.31,76.9,0.22,0.79,0
0.26,83.8,0.25,1.37,0
0.32,75.7,0.35,1.21,0
0.27,77.6,0.24,0.78,0
0.32,88,0.32,1.04,0
0.25,79.6,0.32,0.97,0
0.31,94.6,0.19,0.83,0
0.3,75.3,0.35,1.41,0
0.33,77,0.24,1.26,0
0.24,94.9,0.2,1.14,0
0.33,79.9,0.27,1.18,0
0.3,85.7,0.25,1.3,0
0.36,84.6,0.21,1.17,0
0.33,77.9,0.23,1.06,0
0.31,85.9,0.25,1.08,0
0.29,85.7,0.21,1.48,0
0.3,86.5,0.29,1.02,0
0.31,95.8,0.18,0.95,0
0.3,84.2,0.22,1.08,0
0.28,78.5,0.19,0.63,0
0.34,90.6,0.21,1.41,0
0.32,94.2,0.28,1.28,0
0.27,95.3,0.27,1.47,0
0.28,77.1,0.32,0.63,0
0.3,77.8,0.28,1.39,0
0.25,94.3,0.32,1.39,0
0.29,93.9,0.24,1.37,0
0.3,79.8,0.25,1.14,0
0.33,91.5,0.26,0.62,0
0.35,94.2,0.21,0.68,0
0.35,95.1,0.25,0.99,0
0.28,76.2,0.28,1.01,0
0.25,92,0.32,1.19,0
0.3,87,0.24,0.77,0
0.31,79.5,0.33,1.19,0
0.33,97.6,0.33,1.32,0
0.26,94.8,0.22,1.05,0
0.28,97,0.29,0.86,0
0.35,94.5,0.18,1.1,0
0.31,81.8,0.28,1.05,0
0.26,79.7,0.23,0.84,0
0.29,96.2,0.19,0.84,0
0.25,82.3,0.27,1.31,0
0.26,77.5,0.32,0.94,0
0.25,81.7,0.29,1.39,0
0.33,85.3,0.27,0.78,0
0.31,97.7,0.21,0.7,0
0.34,76.6,0.23,0.65,0
0.35,91.3,0.29,1.48,0
0.3,93.8,0.22,0.66,0
0.33,97.4,0.34,1.4,0
0.33,75.7,0.24,0.63,0
0.32,85.6,0.23,0.69,0
0.28,85.7,0.27,0.64,0
0.31,88.6,0.34,1.09,0
0.29,75.4,0.23,1.24,0
0.32,81.8,0.33,1.5,0
0.27,78.6,0.29,1.4,0
0.26,85.6,0.28,1.38,0
0.25,90.4,0.28,1.05,0
0.27,83.9,0.22,1.44,0
0.34,95.1,0.22,1.03,0
0.27,92.3,0.24,1.13,0
0.27,86.3,0.3,1.43,0
0.34,77.5,0.25,0.88,0
0.27,84.8,0.31,0.68,0
0.34,81.9,0.35,1.12,0
0.3,96.3,0.2,0.97,0
0.33,88.8,0.3,1.19,0
0.25,79.7,0.19,0.65,0
0.26,83.9,0.24,1,0
0.27,81.2,0.21,0.84,0
0.34,92.7,0.27,1.31,0
0.24,90.9,0.3,1.22,0
0.3,88.5,0.24,1.08,0
0.3,91.6,0.2,1.25,0
0.3,93.3,0.35,1,0
0.31,75.5,0.34,1.18,0
0.27,85.6,0.22,1.25,0
0.32,85,0.33,0.8,0
0.27,77.2,0.27,0.84,0
0.31,94.3,0.3,1.03,0
0.27,77.3,0.22,1.23,0
0.28,96.2,0.34,1.05,0
0.28,81.5,0.27,0.68,0
0.26,83.6,0.18,1.49,0
0.27,85,0.22,1.07,0
0.26,81.2,0.32,1.27,0
0.26,87,0.23,0.86,0
0.35,75.6,0.26,0.93,0
0.25,84.4,0.35,1.11,0
0.34,77.2,0.23,1.02,0
0.27,96.5,0.22,0.7,0
0.28,88.2,0.33,1.29,0
0.25,91.6,0.26,1.12,0
0.24,95.8,0.2,1.08,0
0.34,83.2,0.27,0.6,0
0.32,95,0.19,1.3,0
0.28,92.3,0.29,1.42,0
0.27,83.8,0.28,0.94,0
0.33,96,0.27,1.07,0
0.26,78.7,0.21,1.02,0
0.24,89.6,0.27,0.9,0
0.27,85.9,0.32,0.96,0
0.35,75.4,0.27,0.64,0
0.36,90.5,0.21,1.22,0
0.27,77.5,0.35,1.34,0
0.28,86.7,0.27,1.11,0
0.32,77.3,0.21,0.64,0
0.3,82.2,0.27,1.45,0
0.34,88.1,0.22,1.07,0
0.28,96.2,0.24,1.47,0
0.32,84.8,0.28,0.88,0
0.32,87.4,0.28,0.69,0
0.32,88.7,0.33,1.15,0
0.31,84.7,0.25,1.46,0
0.35,82.1,0.23,0.79,0
0.36,76.5,0.21,1.23,0
0.28,83.5,0.19,0.72,0
0.26,78.8,0.28,0.65,0
0.33,93,0.2,1.14,0
0.27,90.4,0.3,0.9,0
0.29,95.8,0.3,1.46,0
0.34,75.4,0.34,0.82,0
0.35,76.1,0.3,1.25,0
0.32,90.1,0.22,0.89,0
0.32,90.9,0.33,0.93,0
0.28,88.8,0.2,1.24,0
0.35,85,0.22,1.5,0
0.36,81.8,0.34,1.18,0
0.24,96,0.2,1.38,0
0.36,79.2,0.2,1.29,0
0.31,85,0.19,1.18,0
0.3,91.2,0.2,1.43,0
0.26,87.5,0.21,1.47,0
0.34,88.9,0.29,1.19,0
0.26,91.8,0.27,0.72,0
0.3,81.3,0.28,0.87,0
0.3,79.8,0.2,0.86,0
0.25,80.7,0.33,1.28,0
0.26,79.2,0.31,1.25,0
0.27,82.8,0.3,1.11,0
0.36,97.4,0.32,1.23,0
0.33,93.9,0.35,0.89,0
0.25,79.8,0.33,1.38,0
0.26,80.1,0.33,0.95,0
0.3,81,0.19,0.61,0
0.31,79.2,0.28,1.34,0
0.25,77.6,0.28,1.4,0
0.29,88.2,0.27,1.43,0
0.31,82.3,0.31,0.81,0
0.32,92,0.22,1.05,0
0.31,76.2,0.2,0.9,0
0.33,78.7,0.22,0.82,0
0.32,75.5,0.29,0.84,0
0.3,89.2,0.23,1,0
0.34,91.5,0.23,0.91,0
0.32,81.2,0.32,0.92,0
0.3,81.7,0.21,0.82,0
0.25,88.2,0.24,1.27,0
0.33,75.2,0.22,0.95,0
0.32,78,0.28,0.66,0
0.3,77.3,0.21,1.06,0
0.3,86.6,0.22,1.25,0
0.32,83.9,0.34,0.98,0
0.3,79.1,0.29,1.3,0
0.29,92.2,0.28,1.09,0
0.31,97.1,0.21,1.17,0
0.35,93.8,0.25,1.02,0
0.34,88.2,0.27,1.44,0
0.29,78.6,0.19,0.81,0
0.34,82.8,0.33,1.09,0
0.31,95,0.23,1.34,0
0.25,92,0.34,1.19,0
0.28,82.1,0.19,1.17,0
0.28,82.7,0.26,1.32,0
0.3,97.1,0.28,1.13,0
0.28,88.1,0.28,1.31,0
0.28,95.9,0.21,1.43,0
0.35,84.5,0.23,0.63,0
0.29,97.2,0.31,1.35,0
0.35,91,0.32,0.72,0
0.36,76.4,0.28,1.38,0
0.3,91.1,0.33,0.91,0
0.31,87.4,0.29,1.06,0
0.32,84.5,0.18,1.17,0
0.24,92.5,0.27,1.24,0
0.36,89.4,0.28,1.08,0
0.25,84.4,0.33,1.47,0
0.3,77.2,0.33,1.08,0
0.27,82.9,0.29,1.15,0
0.31,97,0.34,1.5,0
0.27,75.8,0.31,1.05,0
0.33,92,0.29,0.62,0
0.3,84.5,0.31,1.4,0
0.3,78.4,0.3,0.97,0
0.26,90.3,0.26,0.83,0
0.31,75.4,0.34,0.9,0
0.35,82.5,0.29,1.47,0
0.29,82.2,0.28,0.94,0
0.27,96.3,0.28,0.83,0
0.25,80.5,0.3,0.78,0
0.3,91.6,0.27,1.45,0
0.35,86.8,0.22,1.23,0
0.31,91.5,0.33,0.94,0
0.29,95.9,0.31,0.8,0
0.29,77.9,0.3,1.28,0
0.26,76,0.28,0.67,0
0.32,78.2,0.28,0.88,0
0.27,86.3,0.27,1.31,0
0.25,91.1,0.32,1,0
0.33,82.6,0.22,1.02,0
0.33,79.6,0.18,1.33,0
0.35,82,0.25,1.23,0
0.3,92.4,0.35,1.17,0
0.26,97.7,0.35,1.35,0
0.33,96,0.29,1.15,0
0.28,86.4,0.32,1.14,0
0.28,93.2,0.21,1.16,0
0.28,77.6,0.32,0.9,0
0.28,82.4,0.28,1.4,0
0.29,89.9,0.22,0.61,0
0.27,77.8,0.31,0.86,0
0.36,90.5,0.23,0.64,0
0.35,94.6,0.3,1.38,0
0.26,87.8,0.2,1.43,0
0.32,91,0.33,1.25,0
0.25,83.6,0.23,0.72,0
0.33,97.3,0.22,0.78,0
0.28,81.5,0.32,0.65,0
0.28,79.9,0.2,1.49,0
0.27,76.8,0.24,0.85,0
0.25,91.5,0.29,1.25,0
0.35,96.8,0.3,0.97,0
0.35,85.3,0.24,1.41,0
0.32,79.5,0.32,1.08,0
0.27,76,0.31,1.42,0
0.35,85.9,0.28,0.85,0
0.33,90.5,0.29,0.84,0
0.29,87.8,0.34,1.33,0
0.25,85.7,0.25,1.18,0
0.31,75.3,0.19,1.21,0
0.25,83,0.34,1.17,0
0.26,96.4,0.24,0.99,0
0.32,90.2,0.3,0.99,0
0.25,86.8,0.27,1.41,0
0.33,80.7,0.19,1.14,0
0.32,88,0.25,1.39,0
0.24,85.8,0.2,1.25,0
0.33,82,0.2,0.62,0
0.31,83.4,0.29,1.08,0
0.26,80.6,0.32,0.92,0
0.31,77.7,0.19,1.26,0
0.31,90.3,0.23,0.83,0
0.29,96,0.3,1,0
0.27,83.1,0.21,1.19,0
0.35,76.5,0.29,1.22,0
0.34,75.2,0.33,0.76,0
0.33,89.1,0.19,0.83,0
0.33,96.4,0.28,1.31,0
0.29,97.4,0.29,1.29,0
0.33,94.1,0.33,0.76,0
0.31,94.7,0.23,0.87,0
0.26,76.6,0.3,1.46,0
0.24,90.5,0.34,0.69,0
0.27,89.2,0.28,0.82,0
0.34,81.4,0.26,0.78,0
0.33,75.7,0.19,1.01,0
0.32,85.4,0.27,1.02,0
0.27,84.5,0.29,1.25,0
0.26,82.5,0.21,0.63,0
0.25,77.4,0.21,1.02,0
0.3,77.6,0.22,1.01,0
0.25,90.7,0.29,1.05,0
0.3,78.6,0.22,0.74,0
0.34,93.6,0.34,0.8,0
0.29,85.4,0.19,1.37,0
0.25,91.6,0.31,1.05,0
0.35,88.8,0.29,1.08,0
0.34,75.9,0.25,1.5,0
0.31,78.8,0.28,1.3,0
0.35,81.2,0.25,1.32,0
0.3,89.6,0.18,1.12,0
0.29,91.6,0.33,1.42,0
0.3,81.1,0.35,0.8,0
0.34,80.7,0.31,0.71,0
0.24,76.4,0.35,1.08,0
0.29,84.5,0.23,0.93,0
0.28,93.9,0.21,1.02,0
0.3,96,0.23,1.19,0
0.35,84.6,0.2,0.83,0
0.31,82.2,0.23,0.81,0
0.25,94,0.33,1.11,0
0.3,86.9,0.33,0.77,0
0.27,86.1,0.3,0.99,0
0.35,93.7,0.21,1.14,0
0.34,84,0.27,0.66,0
0.35,87.8,0.32,1.23,0
0.27,76.8,0.3,1.29,0
0.25,92.9,0.24,0.93,0
0.27,92.1,0.19,1.5,0
0.28,75.3,0.19,1.47,0
0.32,80.9,0.34,1.36,0
0.3,96.1,0.34,0.99,0
0.26,78,0.28,0.91,0
0.32,82.1,0.28,0.71,0
0.33,83.6,0.31,0.91,0
0.28,89.5,0.27,1.41,0
0.35,91.4,0.28,1.31,0
0.26,80.2,0.34,1.13,0
0.32,92.3,0.32,1.15,0
0.28,95.7,0.32,0.75,0
0.34,83.3,0.25,1.35,0
0.36,81.9,0.22,0.74,0
0.32,87.5,0.25,0.94,0
0.34,80,0.18,1.24,0
0.34,89.9,0.19,0.88,0
0.27,96.2,0.33,1.2,0
0.25,94.9,0.24,1.09,0
0.3,93.2,0.33,1.31,0
0.26,88.7,0.28,1.17,0
0.29,93.3,0.29,0.9,0
0.3,86.8,0.26,1.49,0
0.27,90,0.25,1.14,0
0.3,86.6,0.31,1.13,0
0.25,76.3,0.26,1.24,0
0.35,76.3,0.34,0.88,0
0.32,83.8,0.29,0.64,0
0.29,86.9,0.2,1.11,0
0.35,82.3,0.33,1.08,0
0.33,80.2,0.19,1.49,0
0.27,92.4,0.27,0.87,0
0.3,90.2,0.25,0.74,0
0.32,76.7,0.18,1.31,0
0.32,90.4,0.22,0.8,0
0.26,95.8,0.22,1.22,0
0.34,77.5,0.27,0.82,0
0.34,88,0.29,1.1,0
0.26,81.2,0.3,1.23,0
0.32,95.5,0.32,1.43,0
0.35,92.8,0.2,0.81,0
0.31,90.7,0.34,0.63,0
0.29,75.4,0.21,1.46,0
0.33,81.4,0.22,0.65,0
0.27,90.2,0.2,1.11,0
0.27,96.9,0.22,1.11,0
0.33,80.6,0.35,0.76,0
0.3,79.8,0.24,0.85,0
0.3,93.1,0.21,0.71,0
0.25,90.8,0.35,1.12,0
0.26,81.2,0.29,1.08,0
0.34,89.7,0.3,1.21,0
0.29,77.5,0.28,1.5,0
0.29,75.7,0.25,0.92,0
0.28,90.7,0.31,0.89,0
0.3,79.8,0.22,0.79,0
0.33,91.5,0.19,1.08,0
0.35,83.9,0.26,0.86,0
0.32,93,0.28,0.94,0
0.33,88.2,0.24,1.1,0
0.33,96.8,0.26,1.46,0
0.36,78.9,0.19,1.25,0
0.31,88,0.21,0.64,0
0.29,94.4,0.18,1.41,0
0.28,91.5,0.27,0.68,0
0.27,97.3,0.21,0.89,0
0.27,79.1,0.24,1.31,0
0.29,75.4,0.19,1,0
0.32,83.6,0.31,1.36,0
0.32,82.2,0.2,0.75,0
0.33,86.4,0.25,0.66,0
0.25,78.6,0.2,1.46,0
0.3,87.8,0.2,0.89,0
0.29,76.3,0.19,0.98,0
0.28,91.7,0.31,0.76,0
0.32,77,0.2,0.84,0
0.33,85,0.23,0.7,0
0.31,86.5,0.19,0.67,0
0.34,78.4,0.3,1.4,0
0.32,92.9,0.19,0.62,0
0.35,78.5,0.29,0.82,0
0.29,84.3,0.22,0.84,0
0.35,86.4,0.26,1.48,0
0.35,83.5,0.22,1.2,0
0.29,97.4,0.32,1.2,0
0.32,86.8,0.21,0.63,0
0.24,83.7,0.3,1.28,0
0.28,78,0.22,0.86,0
0.31,82.7,0.32,0.82,0
0.31,96.7,0.19,0.79,0
0.35,76.7,0.33,1.34,0
0.35,83.1,0.2,0.96,0
0.35,79,0.2,0.77,0
0.27,94,0.2,1.29,0
0.33,77.7,0.26,1.46,0
0.29,96.3,0.21,1.02,0
0.31,94.7,0.32,0.7,0
0.27,75.4,0.3,1.33,0
0.35,82,0.28,0.63,0
0.31,86.7,0.3,0.79,0
0.31,83.5,0.19,1.43,0
0.34,95.5,0.32,0.81,0
0.31,75.9,0.3,0.89,0
0.33,89.2,0.22,0.99,0
0.33,86.4,0.2,1.01,0
0.3,92.8,0.31,0.87,0
0.25,83.5,0.26,0.72,0
0.26,86.3,0.24,1.23,0
0.24,75.8,0.28,1.14,0
0.25,88.5,0.31,1.09,0
0.29,86.7,0.26,0.77,0
0.28,92.9,0.22,1.17,0
0.35,90.3,0.24,1.29,0
0.31,85,0.2,1.26,0
0.31,88.1,0.19,1.24,0
0.32,83.5,0.34,0.6,0
0.28,97.1,0.24,1.09,0
0.29,89.9,0.23,0.79,0
0.28,84.5,0.33,1.48,0
0.27,82,0.26,1.49,0
0.29,76.8,0.28,0.74,0
0.3,75.5,0.31,1.18,0
0.27,79.8,0.24,0.76,0
0.28,90.9,0.3,0.65,0
0.32,85,0.28,0.82,0
0.29,97.1,0.18,1.32,0
0.32,96.9,0.22,1.13,0
0.26,76.4,0.34,0.85,0
0.3,96.3,0.26,1.46,0
0.29,90.1,0.29,1.47,0
0.28,82.9,0.35,0.9,0
0.33,87.2,0.21,1.02,0
0.35,92.2,0.26,0.98,0
0.35,76.3,0.29,0.85,0
0.34,83.2,0.29,1.3,0
0.24,77.8,0.33,0.76,0
0.31,93.7,0.2,0.82,0
0.25,89.1,0.28,0.77,0
0.3,97.6,0.19,0.79,0
0.33,89.4,0.22,1.29,0
0.28,81.2,0.22,0.88,0
0.31,87.4,0.33,0.96,0
0.25,96.4,0.33,1.25,0
0.34,84.2,0.25,1.45,0
0.28,90,0.31,1.02,0
0.31,85.3,0.27,0.83,0
0.25,83.9,0.19,1.44,0
0.27,81.9,0.33,1.38,0
0.3,85.1,0.3,1.02,0
0.33,86,0.2,1.41,0
0.24,79.4,0.2,1.23,0
0.3,94.2,0.24,1.21,0
0.34,90.4,0.32,0.77,0
0.36,82.6,0.29,1.48,0
0.29,93.2,0.25,1.4,0
0.34,92.6,0.27,1.07,0
0.26,78.4,0.34,1.07,0
0.27,81.6,0.33,1.07,0
0.28,89.2,0.3,1.09,0
0.33,80.1,0.24,1.19,0
0.28,78.1,0.28,1.03,0
